127.0.0.1 - - [08/Jul/2013:12:09:55 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:09:57 +0530] "GET /CallCenterManagement/homepage.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:10:07 +0530] "POST /CallCenterManagement/LoginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:10:07 +0530] "GET /CallCenterManagement/admin.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:10:12 +0530] "GET /CallCenterManagement/keyword.jsp HTTP/1.1" 200 914
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:10:49 +0530] "POST /CallCenterManagement/InsertKeyword HTTP/1.1" 200 89
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:09 +0530] "GET /CallCenterManagement/keydetails.jsp HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:24 +0530] "GET /CallCenterManagement/LogoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:24 +0530] "GET /CallCenterManagement/homepage.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:37 +0530] "POST /CallCenterManagement/LoginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:37 +0530] "GET /CallCenterManagement/admin.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:47 +0530] "GET /CallCenterManagement/pendingquery.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:49 +0530] "GET /CallCenterManagement/pending.jsp HTTP/1.1" 200 1093
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:51 +0530] "GET /CallCenterManagement/pendingquery.jsp HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:53 +0530] "GET /CallCenterManagement/admin.jsp HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:59 +0530] "GET /CallCenterManagement/LogoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:11:59 +0530] "GET /CallCenterManagement/homepage.jsp HTTP/1.1" 200 1665
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:12:18 +0530] "POST /CallCenterManagement/LoginController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:12:18 +0530] "GET /CallCenterManagement/employee.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:12:38 +0530] "GET /CallCenterManagement/display.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:12:41 +0530] "GET /CallCenterManagement/employee.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:13:01 +0530] "GET /CallCenterManagement/display.jsp HTTP/1.1" 200 1324
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:13:16 +0530] "GET /CallCenterManagement/employee.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:13:23 +0530] "GET /CallCenterManagement/query1.jsp HTTP/1.1" 200 1226
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:14:45 +0530] "POST /CallCenterManagement/InsertQuery HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:14:51 +0530] "GET /CallCenterManagement/display.jsp HTTP/1.1" 200 1448
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:14:59 +0530] "GET /CallCenterManagement/employee.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:15:08 +0530] "GET /CallCenterManagement/customerdetails.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:16:51 +0530] "POST /CallCenterManagement/InsertCustomer HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:16:59 +0530] "GET /CallCenterManagement/customerdetails.jsp HTTP/1.1" 200 1533
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:17:59 +0530] "POST /CallCenterManagement/InsertCustomer HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:20:05 +0530] "GET /CallCenterManagement/customerdetails.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:20:09 +0530] "GET /CallCenterManagement/customerdetails.jsp HTTP/1.1" 200 1543
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:20:55 +0530] "POST /CallCenterManagement/InsertCustomer HTTP/1.1" 200 83
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:20:57 +0530] "GET /CallCenterManagement/cust.jsp HTTP/1.1" 200 1320
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:21:03 +0530] "GET /CallCenterManagement/employee.jsp HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:21:11 +0530] "GET /CallCenterManagement/LogoutController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Jul/2013:12:21:11 +0530] "GET /CallCenterManagement/homepage.jsp HTTP/1.1" 200 1665
